,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
371,PCG,PG&E Corporation,Utilities,Multi-Utilities,"San Francisco, California",2022,1004980,1905
372,PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",2008,1413329,2008
373,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012,1534701,2012
374,PNW,Pinnacle West,Utilities,Multi-Utilities,"Phoenix, Arizona",1999,764622,1985
375,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",2008,1038357,1997
376,PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988,713676,1845
377,POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",2020,945841,1993
378,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957,79879,1883
379,PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",2001,922224,1920
380,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002,1126328,1879
381,PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",1957,80424,1837
382,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997,80661,1937
383,PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",2003,1045609,1983
384,PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",2002,1137774,1875
385,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957,788784,1903
386,PTC,PTC,Information Technology,Application Software,"Boston, Massachusetts",2021,857005,1985
387,PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California",2005,1393311,1972
388,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984,822416,1956
389,QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",2015,1604778,2015
390,PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",2009,1050915,1997
391,QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",1999,804328,1985
392,DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",2002,1022079,1967
393,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2007,1037038,1967
394,RJF,Raymond James,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017,720005,1962
395,RTX,Raytheon Technologies,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1957,101829,1922
396,O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015,726728,1969
397,REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",2017,910606,1963
398,REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",2013,872589,1988
399,RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",1998,1281761,1971
